fuel_type_id,fuel_group_id,fuel_group,fuel_type,surface_r,surface_k,surface_c,elevated_r,elevated_k,elevated_c,bark_r,bark_k,bark_c,wind_reduction_factor,canopy_fuel_max,canopy_height,spotting_potential,spotting_distance
1,1,"Rainforests","Rainforests",9,0.75,0,0.9,0.3,0.1,0.5,0.1,0.5,5,10,30,"Low","Short"
2,2,"Wet sclerophyll forests (shrubby)","North coast wet sclerophyll forests",18,0.35,1,2.9,0.15,0.1,2.5,0.1,1.38,4.5,6.9,45,"Extreme","Long"
3,2,"Wet sclerophyll forests (shrubby)","South coast wet sclerophyll forests",18,0.35,1,2.9,0.15,0.1,2,0.1,1.25,4.5,6.9,40,"Very High","Long"
4,2,"Wet sclerophyll forests (shrubby)","Northern escarpment wet sclerophyll forests",18,0.35,1,2.9,0.15,0.1,3,0.1,1.5,4.5,6.9,60,"Extreme","Long"
5,2,"Wet sclerophyll forests (shrubby)","Southern escarpment wet sclerophyll forests",18,0.35,1,2.9,0.15,0.1,2.6,0.1,1.4,4.5,6.9,45,"Extreme","Long"
6,2,"Wet sclerophyll forests (grassy)","Northern hinterland wet sclerophyll forests",17,0.35,1,1.9,0.15,0.1,2.37,0.1,1.13,4.5,9.6,40,"Extreme","Medium"
7,2,"Wet sclerophyll forests (grassy)","Southern lowland wet sclerophyll forests",17,0.35,1,1.9,0.15,0.1,2.1,0.1,1.1,4.5,9.6,30,"Extreme","Medium"
8,2,"Wet sclerophyll forests (grassy)","Northern tableland wet sclerophyll forests",17,0.35,1,1.9,0.15,0.1,2.14,0.1,1.29,4.5,6.8,35,"Very High","Long"
9,2,"Wet sclerophyll forests (grassy)","Southern tableland wet sclerophyll forests",17,0.35,1,1.9,0.15,0.1,1,0.1,1,3.5,6.8,30,"Very High","Long"
10,2,"Wet sclerophyll forests (grassy)","Montane wet sclerophyll forests",23,0.2,1,1.9,0.15,0.1,1.6,0.1,1,3.5,8,30,"Very High","Long"
